Temperature,pH,Dissolved Oxygen,Conductivity
14.77,8.14,9.75,342.1
16.58,8.01,9.24,390.9
16.88,8.24,10.48,396.8
16.32,8.06,9.22,401.8
16.51,8.15,9.58,332.5
16.59,8.06,9.07,395.6
16.56,7.97,8.68,413.7
17.15,8.09,9.09,411.7
17.43,8.04,8.72,405.6
18.58,8.22,9.65,397.3
19.57,8.76,14.4,401.7
19.66,8.66,13.43,387.5
20.53,9.02,19.61,378.5
21.74,9.08,19.78,373.3
23.01,9.02,16.79,348.9
22.98,8.75,11.5,411.9
21.75,8.42,9.09,370.1
22.79,8.5,8.83,398.5
22.07,8.26,7.83,393.8
21.86,8.2,7.74,385.4
21.24,8.14,8.18,344
20.88,8.17,8.3,337
21.45,8.14,8.21,368.8
21.07,8.1,8.27,351.6
21.18,8.13,8.56,332.8
21.54,8.05,8.29,340.6
21.96,8.17,8.33,405
20.75,7.95,8.13,357
21.31,8.07,7.88,407
21.41,8.12,8.03,343.7
21.9,8.19,8.14,349.7
22.5,8.45,9.32,343.9
22.49,8.53,9.62,371.1
24.28,8.85,11.9,395
24.54,8.64,9.43,386.5
23.54,8.48,8.39,346.5
23.23,8.28,7.49,403.2
23.07,8.23,7.29,362.3
22.61,8.11,7.37,398.2
22.72,8.09,7.34,392.8
22.49,8.02,7.39,385.8
22.22,8.06,7.45,367.3
22.33,8.06,7.72,388.8
22.41,8.09,7.87,389.5
22.51,8.27,8.83,364.1
23.74,8.38,9.5,392.8
25.02,8.54,10.47,385.2
26.16,8.89,13.34,389.7
23.4,8.48,9.12,321
25.53,8.76,10.77,330.9
26.01,8.84,10.72,339
26.55,8.68,9.33,349
26,8.69,8.78,337.4
24.94,8.44,7.6,316.7
25.84,8.62,8.17,321.5
25.77,8.58,8.45,328.9
25.87,8.68,9.36,252
25.73,8.77,9.66,285.2
25.8,8.93,11.22,369.7
25.56,8.8,10.13,336.4
25.78,8.61,8.37,313.7
27,8.75,9.42,297.1
26.7,8.52,8.03,302.6
26.88,8.53,8.1,300.1
26.25,8.53,7.83,311.4
25.85,8.55,8.15,305.3
25.42,8.5,8.09,300.8
24.83,8.41,7.9,302.9
24.56,8.4,7.93,303.5
24.18,8.41,8.06,302.4
24.56,9.07,10.48,296
24.81,9.1,10.22,295.1
24.62,9.09,9.81,297.2
24.89,9.22,10.32,301.9
24.28,9.26,9.99,313.5
24.34,9.47,10.96,294.9
24.4,9.59,12.5,276.6
23.96,9.39,10.18,297.7
23.62,9.41,10.14,293.9
23.97,9.52,10.48,287.8
24.09,9.49,10.92,288.5
24.32,9.52,11.74,287.3
25.28,9.4,10.84,292.2
25.2,9.4,10.64,292.2
24.77,9.23,9.14,285.1
25.38,9.25,9.63,316.8
25.16,9.26,9.36,306.4
25.05,9.26,9.27,283.5
25.68,9.34,9.92,288.7
25.63,9.38,10.39,266.2
25.95,9.46,10.78,268.2
25.83,9.39,10.24,278.1
26.21,9.42,10.25,284.7
25.54,9.14,8.24,282
25.52,9.29,9.14,298.6
25.53,9.25,9.23,280.9
25.32,9.25,9.32,281
25.3,9.34,9.79,265.2
25.04,9.33,9.51,265.6
24.33,9.36,9.49,287.1
24.45,9.52,10.86,294.3
23.68,9.55,10.7,285.4
23.6,9.41,9.66,266.6
23.82,9.46,10.01,245.5
24.35,9.49,10.25,247.4
24.67,9.52,10.07,244.2
25.15,9.56,10.03,236.6
24.6,9.56,10,237.1
24.64,9.47,10.55,316.8
24.58,9.62,10.27,234.4
24.99,9.57,9.92,235
25.68,9.54,10.05,238.7
25.92,9.62,10.68,238.2
26.16,9.55,10.03,238.4
25.99,9.52,9.55,236.2
24.97,9.5,9.04,252.3
23.73,9.39,8.95,261.8
21.75,9.13,8.73,277.5
20.24,8.78,9.07,262.4
21.39,8.86,8.56,285.6
21.11,8.8,8.29,272.4
21.13,8.12,7.86,268.1
21.45,8.22,8.56,259.2
21.9,8.18,8.58,272.5
22.35,8.39,9.43,262.8
22.51,8.53,9.94,271.4
23.42,8.93,12.72,290.4
23.06,8.77,10.27,260.1
23.32,8.41,8.51,290.8
23.33,8.64,9.29,273.3
22.03,8.57,8.85,248.5
21.66,8.68,9.04,256.1
21.07,8.58,8.92,256.2
20.95,8.36,8.81,256.8
21.03,8.36,8.83,259.6
20.66,8.45,8.96,253.9
19.84,8.33,9.09,260.3
19.73,8.43,9.48,241.9
19.4,8.39,9.58,238
19.19,8.36,9.43,263.2
19.24,8.27,9.24,265.7
19.43,8.19,9.16,268.5
19.79,8.42,9.42,265.4
18.8,8.23,9.27,281.2
18.92,8.26,9.28,272.1
18.78,8.31,9.43,267
18.73,8.43,9.61,272.3
19.69,8.48,10.38,273.6
19.06,8.36,9.53,279.4
18.95,8.24,9.1,272.9
17.06,8.29,9.69,262
15.83,8.24,9.88,240.9
15.52,8.37,10.34,254.9
15.38,8.3,10.16,259.6
